"Team","Shot_Type","Sub_Type","X","Y","Shot_Outcome"
"Tasmania JackJumpers","3pt","Jump Shot",26.57,74.86,"Miss"
"Tasmania JackJumpers","2pt","Floating Jump Shot",22.25,32.25,"Miss"
"Melbourne United","3pt","Jump Shot",72.3,80.23,"Make"
"Melbourne United","2pt","Layup",94.34,53.55,"Make"
"Tasmania JackJumpers","2pt","Layup",7.21,55.09,"Make"
"Melbourne United","2pt","Turn Around Jump Shot",84.96,56.05,"Make"
"Tasmania JackJumpers","2pt","Turn Around Jump Shot",21.83,38.58,"Miss"
"Tasmania JackJumpers","3pt","Jump Shot",8.03,97.89,"Make"
"Tasmania JackJumpers","2pt","Driving Layup",7.11,53.36,"Make"
"Tasmania JackJumpers","3pt","Step Back Jump Shot",26.98,25.53,"Miss"
"Melbourne United","2pt","Turn Around Jump Shot",77.96,72.55,"Miss"
"Tasmania JackJumpers","3pt","Step Back Jump Shot",21.83,10.36,"Make"
"Melbourne United","2pt","Driving Layup",89.8,55.09,"Miss"
"Tasmania JackJumpers","2pt","Floating Jump Shot",16.58,66.41,"Miss"
"Melbourne United","2pt","Driving Layup",87.44,54.51,"Miss"
"Melbourne United","2pt","Jump Shot",96.81,83.3,"Make"
"Tasmania JackJumpers","3pt","Pull Up Jump Shot",20.6,10.17,"Miss"
"Melbourne United","3pt","Step Back Jump Shot",71.99,15.74,"Make"
"Tasmania JackJumpers","3pt","Jump Shot",28.22,30.13,"Make"
"Brisbane Bullets","2pt","Driving Layup",92.17,47.6,"Miss"
"New Zealand Breakers","3pt","Pull Up Jump Shot",26.26,14.59,"Miss"
"New Zealand Breakers","3pt","Jump Shot",32.34,46.45,"Miss"
"New Zealand Breakers","2pt","Dunk",8.75,53.17,"Make"
"Brisbane Bullets","3pt","Pull Up Jump Shot",68.38,54.7,"Make"
"New Zealand Breakers","3pt","Jump Shot",33.37,47.22,"Make"
"Brisbane Bullets","2pt","Driving Layup",91.56,55.66,"Miss"
"New Zealand Breakers","3pt","Pull Up Jump Shot",24.41,88.29,"Miss"
"Brisbane Bullets","2pt","Driving Layup",88.47,48.37,"Miss"
"New Zealand Breakers","2pt","Floating Jump Shot",7.31,55.66,"Make"
"Brisbane Bullets","2pt","Driving Layup",91.86,36.28,"Make"
"Brisbane Bullets","2pt","Layup",92.79,52.59,"Make"
"New Zealand Breakers","2pt","Pull Up Jump Shot",7.62,59.31,"Make"
"Brisbane Bullets","2pt","Driving Layup",90.83,53.36,"Miss"
"Brisbane Bullets","2pt","Layup",93,55.66,"Miss"
"Brisbane Bullets","2pt","Tip In",95,50,"Miss"
"New Zealand Breakers","2pt","Pull Up Jump Shot",19.88,47.22,"Miss"
"Brisbane Bullets","3pt","Pull Up Jump Shot",75.49,14.78,"Miss"
"Brisbane Bullets","3pt","Jump Shot",78.78,93.09,"Make"
"New Zealand Breakers","2pt","Driving Layup",9.06,51.06,"Miss"
"New Zealand Breakers","2pt","Tip In",5,50,"Make"
"New Zealand Breakers","2pt","Pull Up Jump Shot",20.91,49.52,"Miss"
"Brisbane Bullets","2pt","Reverse Layup",92.79,55.47,"Make"
"New Zealand Breakers","3pt","Jump Shot",28.63,21.88,"Miss"
"Brisbane Bullets","3pt","Jump Shot",68.69,22.07,"Miss"
"Brisbane Bullets","2pt","Pull Up Jump Shot",89.29,63.34,"Miss"
"New Zealand Breakers","3pt","Jump Shot",32.44,61.04,"Miss"
"Brisbane Bullets","2pt","Reverse Layup",93.61,55.28,"Make"
"New Zealand Breakers","2pt","Fade Away",18.64,59.31,"Make"
"Brisbane Bullets","3pt","Jump Shot",97.32,2.88,"Make"
"Brisbane Bullets","2pt","Dunk",92.17,51.44,"Make"
"New Zealand Breakers","2pt","Layup",6.28,47.41,"Make"
